pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): 'Dt. Vcto'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): 'Vl. Original'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): 'Sdo. Devedor'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): 'Multa'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): 'Juros'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): 'Sdo. Dev. Cons. Situação'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '8109-02 - PIS'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '01/2025'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '25/02/2025'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '20.440,08'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '20.440,08'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '3.372,61'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '400,62'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '24.213,31'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): 'DEVEDOR'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '8109-02 - PIS'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '02/2025'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '25/03/2025'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '24.718,49'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '24.718,49'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '1.794,56'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '247,18'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '26.760,23'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): 'DEVEDOR'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '2172-01 - COFINS'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '01/2025'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '25/02/2025'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '94.338,82'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '94.338,82'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '15.565,90'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '1.849,04'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '111.753,76'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): 'DEVEDOR'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '2172-01 - COFINS'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '02/2025'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '25/03/2025'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '114.085,32'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '114.085,32'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '8.282,59'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '1.140,85'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '123.508,76'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): 'DEVEDOR'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '3373-01 - IRPJ'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '1º'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): 'TRIM/2024'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '30/04/2024'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '265.367,18'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '146.346,86'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '29.269,37'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '15.878,63'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '191.494,86'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): 'DEVEDOR'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '3373-01 - IRPJ'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '2º'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): 'TRIM/2024'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '31/07/2024'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '238.774,05'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '91.909,61'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '18.381,92'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '7.646,87'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '117.938,40'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): 'DEVEDOR'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '16/04/2025 11:07:15'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): 'CNPJ: 08.697.901 - SINAURB SERVICOS E EMPREENDIMENTOS LTDA'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): 'Débito com Exigibilidade Suspensa (SIEF) ________________________________________________________________________'
pdf-processor-1  | CNPJ encontrado: 08.697.901/0001-96
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): 'Receita'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): 'PA/Exerc.'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): 'Dt. Vcto'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): 'Vl.Original'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): 'Sdo.Devedor'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): 'Situação'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '0561-07 - IRRF'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '03/2025'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '17/04/2025'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '6.222,60'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '6.222,60'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): 'A ANALISAR-A VENCER'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '1138-01 - CP-PATRONAL'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '03/2025'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '17/04/2025'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '4.339,23'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '4.339,23'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): 'A ANALISAR-A VENCER'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): 'CNO: 90.022.91809/79'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '1138-01 - CP-PATRONAL'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '03/2025'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '17/04/2025'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '41.405,02'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '35.173,20'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): 'A ANALISAR-A VENCER'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): 'CNO: 90.017.66294/70'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '1138-01 - CP-PATRONAL'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '03/2025'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '17/04/2025'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '21.380,07'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '21.380,07'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): 'A ANALISAR-A VENCER'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): 'CNO: 90.018.40763/70'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '1138-01 - CP-PATRONAL'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '03/2025'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '17/04/2025'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '1.820,41'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '1.820,41'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): 'A ANALISAR-A VENCER'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): 'CNO: 90.022.26633/78'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '1138-01 - CP-PATRONAL'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '03/2025'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '17/04/2025'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '27.279,76'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '27.279,76'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): 'A ANALISAR-A VENCER'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): 'CNO: 90.017.75813/73'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '1138-04 - CP-PATRONAL'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '03/2025'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '17/04/2025'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '423,60'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '423,60'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): 'A ANALISAR-A VENCER'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '1646-01 - CP-PATRONAL'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '03/2025'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '17/04/2025'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '3.923,54'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '3.923,54'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): 'A ANALISAR-A VENCER'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): 'CNO: 90.017.26810/76'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '1646-01 - CP-PATRONAL'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '03/2025'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '17/04/2025'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '1.216,59'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '1.216,59'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): 'A ANALISAR-A VENCER'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): 'CNO: 90.013.72515/73'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '1646-01 - CP-PATRONAL'
pdf-processor-1  | Linha pulada (sem CNPJ ou header não pulado): '03/2025'
