pdf-processor-1  | --- Iniciando busca pela seção 'Inscrição com Exigibilidade Suspensa (SIDA)' ---
pdf-processor-1  | Seção 'Inscrição SIDA' encontrada na linha 685: 'Inscrição com Exigibilidade Suspensa (SIDA) _____________________________________________________________________'
pdf-processor-1  | CNPJ definido para (SIDA): 08.697.901/0001-96
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): 'Inscrição'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): 'Receita'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): 'Inscrito em'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): 'Ajuizado em'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): 'Processo'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): 'Tipo de Devedor'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): '60.2.20.016795-74'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): '3551-IRPJ'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): '18/05/2020'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): '10136.528.205/2020-25'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): 'DEVEDOR PRINCIPAL'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): 'Situação: ATIVA NAO AJUIZAVEL NEGOCIADA NO SISPAR'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): '60.2.22.014441-39'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): '3551-IRPJ'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): '21/12/2022'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): '15504.418.709/2021-05'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): 'DEVEDOR PRINCIPAL'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): 'Situação: ATIVA NAO AJUIZAVEL NEGOCIADA NO SISPAR'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): '60.2.22.014442-10'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): '3551-IRPJ'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): '21/12/2022'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): '15504.405.002/2020-40'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): 'DEVEDOR PRINCIPAL'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): 'Situação: ATIVA NAO AJUIZAVEL NEGOCIADA NO SISPAR'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): '60.2.24.004756-11'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): '3551-IRPJ'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): '18/03/2024'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): '10680.918.850/2023-11'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): 'DEVEDOR PRINCIPAL'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): 'Situação: ATIVA NAO AJUIZAVEL NEGOCIADA NO SISPAR'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): '60.2.24.004757-00'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): '3551-IRPJ'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): '18/03/2024'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): '10680.915.407/2023-80'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): 'DEVEDOR PRINCIPAL'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): '16/04/2025 11:07:15'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): 'CNPJ: 08.697.901 - SINAURB SERVICOS E EMPREENDIMENTOS LTDA'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): 'Situação: ATIVA NAO AJUIZAVEL NEGOCIADA NO SISPAR'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): '60.2.24.009815-84'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): '3551-IRPJ'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): '13/05/2024'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): '18208.052.062/2023-31'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): 'DEVEDOR PRINCIPAL'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): 'Situação: ATIVA NAO AJUIZAVEL NEGOCIADA NO SISPAR'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): '60.2.24.009817-46'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): '3551-IRPJ'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): '13/05/2024'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): '18208.052.011/2023-17'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): 'DEVEDOR PRINCIPAL'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): 'Situação: ATIVA NAO AJUIZAVEL NEGOCIADA NO SISPAR'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): '60.2.24.009825-56'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): '3551-IRPJ'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): '13/05/2024'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): '18208.051.987/2023-64'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): 'DEVEDOR PRINCIPAL'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): 'Situação: ATIVA NAO AJUIZAVEL NEGOCIADA NO SISPAR'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): '60.2.24.009865-43'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): '3551-IRPJ'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): '13/05/2024'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): '10136.207.241/2024-81'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): 'DEVEDOR PRINCIPAL'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): 'Situação: ATIVA NAO AJUIZAVEL NEGOCIADA NO SISPAR'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): '60.4.25.046524-92'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): '4133-CONTR.'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): 'SEGURADOS'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): '27/01/2025'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): '14966.104.055/2025-51'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): 'CORRESPONSÁVEL'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): 'Devedor Principal: 49.559.724/0001-69'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): 'Situação: ATIVA NAO AJUIZAVEL NEGOCIADA NO SISPAR'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): '60.4.25.046538-98'
pdf-processor-1  | Linha ignorada (SIDA - esperando cabeçalho): '4156-CONTR.'
