quest: "POST /api/extraction/extract HTTP/1.1", host: "api.actplanconsultoria.com", referrer: "https://app.actplanconsultoria.com/"
nginx-proxy-1    | 2025/04/24 16:39:21 [error] 22#22: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 177.60.68.91, server: api.actplanconsultoria.com, request: "POST /api/extraction/extract HTTP/1.1", upstream: "http://172.18.0.2:8001/api/extraction/extract", host: "api.actplanconsultoria.com", referrer: "https://app.actplanconsultoria.com/"
nginx-proxy-1    | 177.60.68.91 - - [24/Apr/2025:16:39:21 +0000] "POST /api/extraction/extract HTTP/1.1" 502 559 "https://app.actplanconsultoria.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:44 +0000] "GET /autoload_classmap.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /autoload_classmap.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /post.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /post.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /1.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /1.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /flower.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /flower.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /admin.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /admin.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /file.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /file.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /meta.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /meta.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /index.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /index.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /about.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /about.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /randkeyword.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /randkeyword.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /goods.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /goods.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /hehe.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /hehe.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /yindu.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /yindu.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /wp-admin/class-db.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /wp-admin/class-db.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /baxa1.phP8 HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /baxa1.phP8 HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /baxa1.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /baxa1.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /.well-known//index.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /.well-known//index.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /libraries/phpmailer//index.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /libraries/phpmailer//index.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /wp-admin/autoload_classmap.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /wp-admin/autoload_classmap.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /wp-admin/css/colors/blue//1.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /wp-admin/css/colors/blue//1.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /wp-content/plugins//about.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /wp-content/plugins//about.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /wp-content/plugins//index.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /wp-content/plugins//index.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /wp-content/plugins/about.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /wp-content/plugins/about.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /wp-content/uploads/BbUMY/flower.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /wp-content/uploads/BbUMY/flower.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /wp-includes/ID3//file.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /wp-includes/ID3//file.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /wp-includes/Text/Diff/Engine//about.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /wp-includes/Text/Diff/Engine//about.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /wp-includes/Text/Diff/Engine//index.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /wp-includes/Text/Diff/Engine//index.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /wp-includes/css//index.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /wp-includes/css//index.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /wp-includes/css//xc.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:45 +0000] "GET /wp-includes/css//xc.php HTTP/1.1" 200 65 "-" "-" "-"
